"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"40",".@HPE &amp; @YadVashem hosted a #BigData Hackathon to transform over a petabyte of unorganized Holocaust history. https://t.co/04qqIKnv4T",FALSE,0,NA,2015-11-12 04:17:27,FALSE,NA,"664658239745753089",NA,"<a href=""http://my.quesocial.com"" rel=""nofollow"">QUEsocial</a>","wishonine",0,FALSE,FALSE,NA,NA
"41","RT @KirkDBorne: #BigData #Analytics Solutions in #OilandGas by Mtell &amp; @MapR: https://t.co/nrY3KpwOGB #MachineLearning #DataScience https:/…",FALSE,0,NA,2015-11-12 04:17:18,FALSE,NA,"664658199593615361",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alextomyonline",8,TRUE,FALSE,NA,NA
"42","RT @KirkDBorne: A #DataScience Declaration for today's Data-Drenched Organizations: https://t.co/OKXbyWSeBF #BigData #Analytics https://t.c…",FALSE,0,NA,2015-11-12 04:17:14,FALSE,NA,"664658182858387456",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","randomnick85",5,TRUE,FALSE,NA,NA
"43","Informatica is honored to share a #BigData ecosystem partnership with @Deloitte https://t.co/MXc3y9WpAd #BigDataReady",FALSE,1,NA,2015-11-12 04:17:04,FALSE,NA,"664658142161199105",NA,"<a href=""http://gaggleamp.com/twit/"" rel=""nofollow"">GaggleAMP</a>","Mariacicio",0,FALSE,FALSE,NA,NA
"44","RT @BigData2025: Python for #DataScience vs Python for Web Development: https://t.co/SCHUl5HQzn #abdsc #BigData #MachineLearning https://t.…",FALSE,0,NA,2015-11-12 04:16:56,FALSE,NA,"664658106681430016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alextomyonline",2,TRUE,FALSE,NA,NA
"45","RT @KirkDBorne: Get 50+ *free* #DataScience Books at https://t.co/dRslrU5m2h  #abdsc #BigData #Analytics #MachineLearning https://t.co/mAp9…",FALSE,0,NA,2015-11-12 04:16:26,FALSE,NA,"664657982416773120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rukku",8,TRUE,FALSE,NA,NA
"46","9 Useful Open Source Big Data Tools - Enterprise Apps Today https://t.co/Ud6u9E0F3H #BigData",FALSE,0,NA,2015-11-12 04:16:24,FALSE,NA,"664657974548422656",NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>","siprasad",0,FALSE,FALSE,NA,NA
"47","RT @dr_morton: Time is NOT Money...

In Entrepreneurship Time is a CRITICAL Resource that Money Can't buy. 

Computing &amp; #BigData can, howe…",FALSE,0,NA,2015-11-12 04:16:12,FALSE,NA,"664657924430524417",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","lakawula",21,TRUE,FALSE,NA,NA
"48","#blockchain whirlwind month... SO FAR https://t.co/w9KNmQmUqc #iot #bigdata",FALSE,0,NA,2015-11-12 04:16:12,FALSE,NA,"664657922098601984",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","peter_ryans",0,FALSE,FALSE,NA,NA
"49","Informatica is honored to share a #BigData ecosystem partnership with @Deloitte https://t.co/AiDouLNTXy #BigDataReady",FALSE,0,NA,2015-11-12 04:16:11,FALSE,NA,"664657919636602880",NA,"<a href=""http://gaggleamp.com/twit/"" rel=""nofollow"">GaggleAMP</a>","InformaticaGOSI",0,FALSE,FALSE,NA,NA
